,Unnamed: 0,title,date,geo,rating
0,0,Dubai,2008,AE,1
1,1,UAE,2008,AE,2
2,2,الامارات,2008,AE,3
3,3,العاب,2008,AE,4
4,4,دبي,2008,AE,5
5,5,صور,2008,AE,6
6,6,News,2008,AE,7
7,7,أغاني,2008,AE,8
8,8,YouTube,2008,AE,9
9,9,Games,2008,AE,10
0,0,حرب القبائل (tribal wars game),2009,AE,1
1,1,Gitex 2009,2009,AE,2
2,2,نت لوق (netLog),2009,AE,3
3,3,Flydubai,2009,AE,4
4,4,بلاك بيري (blackberry),2009,AE,5
5,5,Ramadan 2009,2009,AE,6
6,6,Twitter,2009,AE,7
7,7,6 ستار اكاديمي (star academy 6),2009,AE,8
8,8,Etihad Airways booking,2009,AE,9
9,9,Kingfisher Airlines booking,2009,AE,10
0,0,Isabel Marant,2012,AE,1
1,1,Michael Kors,2012,AE,2
2,2,Bershka,2012,AE,3
3,3,Ice Watch,2012,AE,4
4,4,Nike,2012,AE,5
5,5,H&M,2012,AE,6
6,6,Forever 21,2012,AE,7
7,7,Saint Laurent,2012,AE,8
8,8,Celine,2012,AE,9
9,9,Alexander Wang,2012,AE,10
0,0,Paul Walker,2013,AE,1
1,1,محمد عساف,2013,AE,2
2,2,Jennifer Lawrence,2013,AE,3
3,3,Justin Bieber,2013,AE,4
4,4,باسم يوسف,2013,AE,5
5,5,Nelson Mandela,2013,AE,6
6,6,Priyanka Chopra,2013,AE,7
7,7,Pope Francis,2013,AE,8
8,8,علي مبخوت,2013,AE,9
9,9,Hugo Chavez,2013,AE,10
0,0,World Cup 2014,2014,AE,1
1,1,Malaysian Airlines crash,2014,AE,2
2,2,Ramadan 2014,2014,AE,3
3,3,Diwali,2014,AE,4
4,4,Gitex,2014,AE,5
5,5,Gaza,2014,AE,6
6,6,Ice Bucket Challenge,2014,AE,7
7,7,Ebola,2014,AE,8
8,8,Oscars 2014,2014,AE,9
9,9,Scotland,2014,AE,10
0,0,Death of Sheikh Rashid bin Mohammed,2015,AE,1
1,1,Nepal Earthquake,2015,AE,2
2,2,Paris Shooting,2015,AE,3
3,3,Charlie Hebdo,2015,AE,4
4,4,Death of A.P.J Abdul Kalam,2015,AE,5
5,5,وفاة ميرنا المهندس,2015,AE,6
6,6,وفاة نور الشريف,2015,AE,7
7,7,وفاة سعود الدوسري,2015,AE,8
8,8,عاصفة الحزم,2015,AE,9
9,9,وفاة سمو الأمير سعود الفيصل,2015,AE,10
0,0,Brexit,2016,AE,1
1,1,Oscars 2016,2016,AE,2
2,2,عيد الاضحى 2016,2016,AE,3
3,3,Fly Dubai crash,2016,AE,4
4,4,Gitex 2016,2016,AE,5
5,5,Holi 2016,2016,AE,6
6,6,Panama Papers,2016,AE,7
7,7,Dubai Canal opening,2016,AE,8
8,8,Chinese New Year 2016,2016,AE,9
